,pop,emp,unemp,seed,count,rate,components
93,7043,3065,120,0.0,1,0.03767660910518053,49021110701
94,4469,1942,26,0.0,1,0.013211382113821139,49021110702
95,5470,2702,85,0.0,1,0.030498744169357734,49023010100
96,4727,2352,89,0.0,1,0.03646046702171241,49023010200
97,2373,1062,21,0.0,1,0.019390581717451522,49025130100
98,4995,2486,103,0.0,1,0.039783700270374665,49025130200
99,4961,2453,78,0.0,1,0.03081785855393125,49027974100
100,3008,1393,39,0.0,1,0.02723463687150838,49027974200
101,4599,2393,99,0.0,1,0.039727126805778494,49027974300
102,9244,4532,137,0.0,1,0.029342471621332192,49029970100
103,1623,643,6,0.0,1,0.009244992295839754,49029970200
104,2331,1045,39,0.0,1,0.035977859778597784,49033950100
105,1707,974,20,0.0,1,0.02012072434607646,49035100100
106,1446,869,34,0.0,1,0.03765227021040975,49035100200
107,5500,2624,115,0.0,1,0.041986126323475724,49035100306
108,5542,2389,112,0.0,1,0.044782087165133946,49035100307
109,4492,1885,51,0.0,1,0.02634297520661157,49035100308
110,2974,1959,112,0.0,1,0.05408015451472718,49035100700
111,2609,1418,44,0.0,1,0.030095759233926128,49035100800
112,3229,1981,54,0.0,1,0.026535626535626536,49035101000
113,2038,1559,25,0.0,1,0.015782828282828284,49035101101
114,3800,2515,57,0.0,1,0.022161741835147745,49035101102
115,3962,3193,61,0.0,1,0.018746158574062692,49035101200
116,5166,2180,123,0.0,1,0.05340859748154581,49035101400
117,3582,2245,52,0.0,1,0.022638223770134958,49035101500
118,3768,3032,67,0.0,1,0.021619877379799937,49035101600
119,3668,2739,48,0.0,1,0.017222820236813777,49035101700
120,3459,2551,108,0.0,1,0.04061677322301617,49035101800
121,2576,1530,88,0.0,1,0.054388133498145856,49035101900
122,2694,1718,93,0.0,1,0.05135284373274434,49035102000
123,2922,1552,66,0.0,1,0.0407911001236094,49035102300
124,5612,2551,83,0.0,1,0.03151100987091875,49035102701
125,3296,1844,36,0.0,1,0.019148936170212766,49035103000
126,4845,2721,48,0.0,1,0.01733477789815818,49035103200
127,4780,2935,113,0.0,1,0.037073490813648295,49035103300
128,4522,2738,27,0.0,1,0.00976491862567812,49035103400
129,4265,2759,78,0.0,1,0.027493831512160734,49035103500
130,2956,1453,26,0.0,1,0.01757944557133198,49035103600
131,2876,1742,5,0.0,1,0.0028620492272467086,49035103700
132,2456,1530,46,0.0,1,0.02918781725888325,49035103800
133,4139,2452,63,0.0,1,0.025049701789264415,49035103900
134,3452,1934,37,0.0,1,0.018772196854388634,49035104000
135,3093,1361,21,0.0,1,0.015195369030390739,49035104100
