Type,Time,Amount
Red Packet,1/27/17 16:25,8
Red Packet,2/7/16 20:27,8.29
Red Packet,2/15/16 8:33,8.66
Red Packet,2/19/15 19:02,8.8
Red Packet,1/27/17 17:12,8.88
Red Packet,2/19/15 19:05,9.14
Red Packet,2/7/16 19:34,9.8
Red Packet,2/18/15 13:14,9.9
Red Packet,1/27/17 19:11,9.99
Red Packet,2/15/16 9:30,9.99
Red Packet,2/8/16 10:24,9.99
Red Packet,3/25/17 11:07,10
Red Packet,11/7/16 13:49,10
Red Packet,10/24/15 11:13,10
Red Packet,5/4/15 12:21,10
Red Packet,2/20/15 14:32,10
Red Packet,10/16/16 13:22,10.16
Red Packet,9/4/16 17:13,10.5
Red Packet,2/18/15 14:47,10.59
Red Packet,6/26/17 10:52,10.77
Red Packet,1/28/17 0:02,11.1
Red Packet,2/18/15 20:16,11.38
Red Packet,2/25/15 8:41,11.56
Red Packet,1/2/16 16:55,12
Red Packet,2/8/16 1:01,12.2
Red Packet,1/27/17 17:37,12.7
Red Packet,2/19/15 18:53,12.78
Red Packet,2/18/15 16:05,12.82
Red Packet,9/23/16 10:10,13
Red Packet,1/1/16 0:41,13.14
Red Packet,2/18/15 20:45,13.26
Red Packet,2/7/16 19:34,13.39
Red Packet,2/19/15 18:57,13.77
Red Packet,2/19/15 13:00,14.04
Red Packet,1/27/17 19:00,14.5
Red Packet,2/20/15 9:02,15.9
Red Packet,9/19/17 15:03,16.66
Red Packet,11/18/16 9:20,18
Red Packet,2/18/15 12:41,18.8
Red Packet,2/9/17 14:44,20
Red Packet,2/16/16 17:15,20
Red Packet,2/9/16 17:31,20
Red Packet,2/9/16 17:30,20
Red Packet,7/9/16 9:57,29.13
