Type,Time,Amount
Red Packet,2/21/15 19:03,-9.9
Red Packet,2/19/15 18:56,-9.9
Go Dutch,1/28/17 16:14,-0.29
Red Packet,2/18/15 15:41,-9.9
Red Packet,2/18/15 13:02,-9.9
Red Packet,1/27/17 19:09,-8.88
Red Packet,2/23/15 23:39,-8.88
Red Packet,2/20/15 8:27,-8.88
Red Packet,2/19/15 15:23,-8.88
Red Packet,2/19/15 1:02,-8.8
Red Packet,2/21/15 22:21,-7.77
Red Packet,2/22/15 19:59,-6.66
Red Packet,6/12/15 22:08,-6.12
Red Packet,2/21/15 23:13,-6
Red Packet,2/21/15 22:15,-5.18
Red Packet,8/18/17 10:57,-5
Red Packet,2/21/15 23:16,-5
Red Packet,2/19/15 10:32,-5
Red Packet,2/20/15 8:49,-3.33
Red Packet,2/20/15 11:36,-2.68
Red Packet,2/20/15 11:04,-2
Red Packet,2/18/15 17:29,-2
Red Packet,2/20/15 11:40,-1.99
Red Packet,2/9/16 22:20,-1.8
Red Packet,2/9/16 22:18,-1.8
Red Packet,7/18/17 11:19,-1
Red Packet,2/18/15 17:50,-1
Vending Machine,1/24/17 12:25,-4
Transfer,1/22/17 18:07,-10
Bluegogo Bike sharing,1/21/17 18:12,-0.5
Red Packet,2/18/15 14:12,-1
Red Packet,2/17/15 21:17,-1
Red Packet,6/28/16 12:18,-0.5
Red Packet,6/17/16 8:45,-0.3
Red Packet,2/20/15 11:05,-0.2
Mobike bike sharing,1/17/17 6:51,-3
Red Packet,2/21/15 22:51,-0.1
Vending Machine,1/12/17 21:43,-3.9
Transfer,1/7/17 11:46,5.5
Mobike bike sharing,1/6/17 8:51,-3
Red Packet,2/19/15 14:23,-0.1
Red Packet,2/21/15 22:09,-0.07
Red Packet,9/4/16 17:37,-0.01
Vending Machine,12/18/16 13:48,-3.9
Mobike bike sharing,12/12/16 6:50,-5
Vending Machine,12/11/16 15:11,-4
Ming bike sharing,12/10/16 22:21,-5
Mobike bike sharing,12/7/16 6:53,-5
Red Packet,3/1/15 16:31,-0.01
Red Packet,2/24/15 4:38,-0.01
Red Packet,2/19/15 19:35,-0.01
Red Packet,2/19/15 19:11,-0.01
Red Packet,2/19/15 19:02,-0.01
Red Packet,2/19/15 18:53,-0.01
Red Packet,2/19/15 2:46,-0.01
Red Packet,1/20/17 19:18,0.01
Red Packet,12/1/16 18:16,0.01
Vending Machine,11/27/16 21:13,-3
Ming bike sharing,11/26/16 9:12,-5
Red Packet,2/6/16 12:45,0.01
Red Packet,1/1/16 0:12,0.01
Red Packet,10/1/15 15:15,0.01
Mobike bike sharing,11/7/16 19:29,-9.02
Red Packet,8/20/15 23:00,0.01
Red Packet,2/21/15 23:18,0.01
Red Packet,2/20/15 11:28,0.01
Mobike bike sharing,10/28/16 18:19,-8
Red Packet,2/19/15 19:50,0.01
Red Packet,2/19/15 19:31,0.01
Mobike bike sharing,10/16/16 18:12,-10
Red Packet,2/19/15 19:25,0.01
Hospital registration fee,10/13/16 12:03,-9
Hospital registration fee,10/13/16 10:11,-9
Mobike bike sharing,10/6/16 6:56,-10
Mobike bike sharing,9/28/16 11:56,-5
Red Packet,2/19/15 19:20,0.01
Red Packet,2/19/15 19:18,0.01
Red Packet,2/19/15 19:18,0.01
Red Packet,2/19/15 19:11,0.01
Red Packet,2/19/15 19:05,0.01
Red Packet,2/19/15 19:05,0.01
Red Packet,2/19/15 14:23,0.01
Red Packet,2/19/15 13:28,0.01
Transfer,8/2/16 20:40,13
Transfer,7/30/16 14:12,15
Transfer,7/30/16 14:12,5.5
Red Packet,2/19/15 7:58,0.01
Meituan,7/26/16 11:48,-12
QR code transfer,7/24/16 11:48,10
Red Packet,2/19/15 1:02,0.01
Didi ride sharing,7/16/16 15:09,-0.1
Didi ride sharing,7/15/16 11:54,-3
Red Packet,2/18/15 15:55,0.01
Red Packet,2/18/15 14:37,0.01
Red Packet,2/18/15 14:06,0.01
Red Packet,1/27/17 9:30,0.02
Red Packet,9/4/16 17:43,0.02
Red Packet,1/22/16 18:58,0.02
Red Packet,2/18/15 14:06,0.02
Red Packet,2/18/15 14:16,0.03
SF mailing service,5/14/16 14:36,-12
Transfer,5/3/16 18:38,12.2
Red Packet,11/11/16 20:13,0.04
Red Packet,2/19/15 0:55,0.04
Withdraw,2/23/16 0:38,-1.49
Red Packet,2/17/15 21:17,0.04
Red Packet,2/8/16 1:01,0.05
Withdraw,2/22/16 10:20,-0.61
Red Packet,2/18/15 18:15,0.05
Withdraw,2/16/16 21:19,-328.7
Red Packet,12/31/15 23:50,0.06
Red Packet,9/10/17 14:21,0.07
Red Packet,2/19/15 9:01,0.07
Red Packet,2/18/15 20:58,0.07
Red Packet,2/18/15 20:45,0.07
Red Packet,10/18/16 15:04,0.08
Red Packet,2/8/16 10:32,0.08
Red Packet,2/8/16 1:01,0.08
Red Packet,2/21/15 22:50,0.08
Red Packet,2/19/15 10:35,0.08
Red Packet,2/18/15 15:21,0.08
Red Packet,2/19/15 11:47,0.09
Red Packet,2/19/15 1:29,0.09
Red Packet,2/18/15 20:38,0.09
Red Packet,2/18/15 14:20,0.09
Red Packet,2/14/16 11:55,0.1
Red Packet,2/19/15 19:34,0.1
Red Packet,2/18/15 19:50,0.1
Red Packet,2/8/16 1:01,0.11
Red Packet,2/19/15 1:09,0.11
Red Packet,2/19/15 1:02,0.11
Red Packet,2/18/15 20:10,0.11
Red Packet,2/18/15 14:06,0.11
Red Packet,2/14/16 22:03,0.12
Red Packet,12/31/15 23:56,0.12
Red Packet,5/20/15 22:50,0.12
Red Packet,2/18/15 20:53,0.12
Red Packet,6/1/15 18:39,0.13
Red Packet,2/19/15 19:25,0.13
Red Packet,2/18/15 20:10,0.13
Red Packet,1/1/16 9:28,0.14
Red Packet,2/19/15 18:04,0.14
Red Packet,2/18/15 20:17,0.14
Red Packet,1/20/17 19:21,0.15
Red Packet,10/1/15 15:15,0.15
Red Packet,2/20/15 11:25,0.15
Red Packet,2/19/15 1:29,0.16
Red Packet,2/14/16 11:55,0.17
Red Packet,2/18/15 19:23,0.17
Red Packet,2/18/15 20:45,0.18
